Wholesaler Name,Vendor Name,Product ID,Product Name,Quantity Sold to Vendor,Unit Price (USD),Total Revenue (USD),Date Sold to Vendor,Vendor Region
HomeTech Distributors,Vendor F,118,Steam Iron Pro,130,40,5200,2024-12-31,South
Global Appliances Inc.,Vendor J,115,Dehumidifier DryAir,33,270,8910,2024-12-31,East
Global Appliances Inc.,Vendor J,119,Water Purifier PureFlow,18,320,5760,2024-12-31,East
Global Appliances Inc.,Vendor I,103,Compact Microwave,75,250,18750,2024-12-31,East
Global Appliances Inc.,Vendor I,107,Toaster Deluxe,65,45,2925,2024-12-31,East
Global Appliances Inc.,Vendor I,111,Smart Oven Pro,2,1050,2100,2024-12-31,East
Urban Suppliers,Vendor M,112,Freezer Ultra,2,950,1900,2024-12-31,West
Urban Suppliers,Vendor N,116,Food Processor Master,75,130,9750,2024-12-31,West
Urban Suppliers,Vendor N,120,Electric Grill Gourmet,52,160,8320,2024-12-31,West
Global Appliances Inc.,Vendor K,131,Air Purifier Elite,35,480,16800,2024-12-31,East
Urban Suppliers,Vendor O,132,Water Heater Eco Plus,35,600,21000,2024-12-31,West
Best Buy Wholesale,Vendor C,133,Smart Oven Pro,5,1100,5500,2024-12-31,North
Global Appliances Inc.,Vendor K,135,Induction Cooktop,30,230,6900,2024-12-31,East
HomeTech Distributors,Vendor F,122,Washer Pro+,25,1400,35000,2024-12-31,South
Global Appliances Inc.,Vendor J,123,Microwave Grill Combo,75,270,20250,2024-12-31,East
Urban Suppliers,Vendor N,124,Dishwasher Slim,22,800,17600,2024-12-31,West
